10;ALBA
29;ARAD
38;ARGES˜
47;BACAU
56;BIHOR
65;BISTRITA-NASAUD
74;BOTOS˜ANI
83;BRAS˜OV
92;BRAILA
109;BUZAU
118;CARAS˜-SEVERIN
519;CALARAS˜I
127;CLUJ
136;CONSTANTA
145;COVASNA
154;DAMBOVITA
163;DOLJ
172;GALATI
528;GIURGIU
181;GORJ
190;HARGHITA
207;HUNEDOARA
216;IALOMITA
225;IAS˜I
234;ILFOV
243;MARAMURES˜
252;MEHEDINTI
261;MURES˜
270;NEAMT
289;OLT
298;PRAHOVA
305;SATU MARE
314;SALAJ
323;SIBIU
332;SUCEAVA
341;TELEORMAN
350;TIMIS˜
369;TULCEA
378;VASLUI
387;VALCEA
396;VRANCEA
403;MUNICIPIUL BUCURES˜TI
